lat,lon
42.3594607,-71.0616866
42.35813139999999,-71.167579
42.30098,-71.1302822
42.290597399999996,-71.0739775
42.2929745,-71.1230186
42.319803799999995,-71.0485512
42.274296,-71.0964135
42.3165628,-71.1010295
42.316493900000005,-71.1089837
42.366920300000004,-71.0677563
42.3378571,-71.10827130000001
42.34758909999999,-71.0408664
42.3459351,-71.1445642
42.3213297,-71.1138728
42.29261569999999,-71.1450621
42.28323249999999,-71.0524987
42.3226409,-71.0986543
42.3404429,-71.1515356
42.3620826,-71.0686592
42.289546999999985,-71.1536804
42.2897486,-71.1094342
42.256426100000006,-71.1466133
42.336171099999994,-71.0958058
42.353835199999985,-71.0535079
42.319956999999995,-71.0620709
42.3782548,-71.0638966
42.30951799999999,-71.129107
42.35973510000001,-71.1279147
42.354390699999996,-71.0767064
42.3141528,-71.11420910000001
42.36668110000001,-71.0500655
42.3148228,-71.0659657
42.385113,-71.0762067
42.3064163,-71.0703595
42.346675399999995,-71.1606458
42.312265799999984,-71.1226979
42.2860412,-71.1451031
42.291172800000005,-71.0886934
42.25672099999999,-71.124623
42.34796589999999,-71.0429324
42.280278,-71.1401697
42.3463671,-71.072977
42.33930929999999,-71.0462367
42.325231499999994,-71.0837411
42.2882285,-71.0552283
42.362845899999996,-71.0563307
42.33730150000001,-71.0756335
42.35657960000001,-71.071651
42.31373399999999,-71.1097285
42.3520046,-71.04555
42.3485596,-71.1545464
42.3302437,-71.0439612
42.34722759999998,-71.1615361
42.2398966,-71.138727
42.25675739999999,-71.1226299
42.37800929999999,-71.062422
42.27331699999999,-71.1472328
42.3670365,-71.1237741
42.3536387,-71.1460049
42.285009,-71.0774253
42.3362973,-71.1040159
42.29377630000001,-71.14734690000002
42.35623639999999,-71.0511421
42.3577141,-71.1330173
42.3447333,-71.05162700000001
42.2853374,-71.1328802
42.3201339,-71.111408
42.311411699999994,-71.116184
42.2876912,-71.1464443
42.34412739999999,-71.1383429
42.35040919999999,-71.0798101
42.3539937,-71.145883
42.288664,-71.1138707
42.3775002,-71.0562405
42.349060099999996,-71.1330152
42.2511866,-71.1419439
42.3786894,-71.0614897
42.3388121,-71.1039711
42.352366,-71.0633404
42.3291155,-71.1033997
42.3615484,-71.0553619
42.3655912,-71.0670135
42.297052,-71.070528
42.3202428,-71.1034795
42.329612899999994,-71.0847261
42.3647721,-71.0652346
42.29218329999999,-71.1161448
42.3415257,-71.0746338
42.378821,-71.0549581
42.3439096,-71.1675824
42.34023160000002,-71.0326715
42.338437600000006,-71.0387863
42.3347811,-71.084694
42.2566972,-71.1202651
42.349369899999985,-71.0653863
42.35339479999999,-71.1631234
42.37676539999999,-71.0561615
42.35231579999999,-71.0627407
42.3450666,-71.1397584
42.27614789999999,-71.1125412
42.28277380000001,-71.1303668
42.347690600000014,-71.1054243
42.311609999999995,-71.070932
42.291465699999996,-71.1551854
42.378644900000005,-71.054591
42.28420990000001,-71.0918835
42.34420449999998,-71.0376613
42.2897975,-71.1172627
42.33748179999999,-71.0265766
42.2709024,-71.0956073
42.3624663,-71.0707895
42.34667629999999,-71.027471
42.38034510000001,-71.0698727
42.2806947,-71.0844685
42.297942899999995,-71.0492575
42.270258199999994,-71.0996925
42.28685059999999,-71.0571207
42.2873494,-71.0649185
42.33831670000001,-71.0252688
42.29368899999999,-71.160709
42.35664439999999,-71.0620164
42.3016221,-71.1147381
42.34713099999999,-71.0978486
42.332366,-71.0311887
42.350096099999995,-71.1647552
42.3406182,-71.0681934
42.372501199999995,-71.0565362
42.3364716,-71.0974016
42.27891000000002,-71.1595378
42.326454,-71.0632908
42.346862900000005,-71.0336133
42.3491179,-71.0457066
42.359393299999994,-71.1274742
42.3020461,-71.058534
42.31882499999998,-71.095305
42.295127,-71.1373779
42.25540629999999,-71.1267426
42.28230559999999,-71.1151022
42.35220699999999,-71.1535866
42.284743,-71.1558748
42.282446099999994,-71.1147421
42.3066983,-71.0841528
42.3432291,-71.0766251
42.31843249999999,-71.105718
42.30638489999999,-71.1074646
42.3216149,-71.0918363
42.29161239999999,-71.0404761
42.287415200000005,-71.1293145
42.35180770000001,-71.0377616
42.349167400000006,-71.0928488
42.36556329999999,-71.1225423
42.3169354,-71.1063892
42.3567794,-71.0604525
42.278351,-71.1364844
42.356849099999984,-71.0556955
42.3487431,-71.0823688
42.28221619999999,-71.0654139
42.31062300000001,-71.1032895
42.375036300000005,-71.0591025
42.33577739999999,-71.0272559
42.35585180000001,-71.0506924
42.264469,-71.1003249
42.36161260000001,-71.0538709
42.34296200000001,-71.0825638
